Round,Date,Time,Team 1,FT,Team 2,Venue
1,Sat Aug 8 2020,19:00,Fortaleza,0-2,Atl Paranaense,Estádio Castelão
1,Sat Aug 8 2020,19:30,Coritiba,0-1,Internacional,Estádio Major Antônio Couto Pereira
1,Sat Aug 8 2020,21:00,Sport Recife,3-2,Ceará,Estádio Adelmar da Costa Carvalho
1,Sun Aug 9 2020,16:00,Flamengo,0-1,Atlético Mineiro,Estadio Jornalista Mário Filho
1,Sun Aug 9 2020,16:00,Santos,1-1,Bragantino,Estádio Urbano Caldeira
1,Sun Aug 9 2020,19:00,Grêmio,1-0,Fluminense,Arena do Grêmio
2,Wed Aug 12 2020,19:15,Atlético Mineiro,3-2,Corinthians,Estádio Raimundo Sampaio
2,Wed Aug 12 2020,19:15,Bragantino,1-1,Botafogo (RJ),Estádio Nabi Abi Chedid
2,Wed Aug 12 2020,19:15,Atl Paranaense,2-1,Goiás,Estádio Joaquim Américo Guimarães
2,Wed Aug 12 2020,20:30,Atl Goianiense,3-0,Flamengo,Estádio Olímpico Pedro Ludovico Teixeira
2,Wed Aug 12 2020,20:30,Bahia,1-0,Coritiba,Estádio Governador Roberto Santos
2,Wed Aug 12 2020,21:30,Fluminense,1-1,Palmeiras,Estadio Jornalista Mário Filho
2,Wed Aug 12 2020,21:30,Ceará,1-1,Grêmio,Estádio Castelão
2,Thu Aug 13 2020,19:15,São Paulo,1-0,Fortaleza,Estádio do Morumbi
2,Thu Aug 13 2020,19:30,Internacional,2-0,Santos,Estádio José Pinheiro Borba
2,Thu Aug 13 2020,20:00,Vasco da Gama,2-0,Sport Recife,Estádio Club de Regatas Vasco da Gama
3,Sat Aug 15 2020,19:00,Grêmio,0-0,Corinthians,Arena do Grêmio
3,Sat Aug 15 2020,19:30,Coritiba,0-1,Flamengo,Estádio Major Antônio Couto Pereira
3,Sat Aug 15 2020,21:30,Palmeiras,1-1,Goiás,Allianz Parque
3,Sun Aug 16 2020,11:00,Atlético Mineiro,2-0,Ceará,Estádio Raimundo Sampaio
3,Sun Aug 16 2020,16:00,Bahia,2-1,Bragantino,Estádio Governador Roberto Santos
3,Sun Aug 16 2020,16:00,Vasco da Gama,2-1,São Paulo,Estádio Club de Regatas Vasco da Gama
3,Sun Aug 16 2020,18:00,Fluminense,2-1,Internacional,Estadio Jornalista Mário Filho
3,Sun Aug 16 2020,19:00,Atl Goianiense,1-1,Sport Recife,Estádio Olímpico Pedro Ludovico Teixeira
3,Sun Aug 16 2020,19:30,Fortaleza,0-0,Botafogo (RJ),Estádio Castelão
3,Sun Aug 16 2020,19:45,Santos,3-1,Atl Paranaense,Estádio Urbano Caldeira
4,Wed Aug 19 2020,19:15,Flamengo,1-1,Grêmio,Estadio Jornalista Mário Filho
4,Wed Aug 19 2020,19:15,Bragantino,2-1,Fluminense,Estádio Nabi Abi Chedid
4,Wed Aug 19 2020,19:30,Atl Paranaense,0-1,Palmeiras,Estádio Joaquim Américo Guimarães
4,Wed Aug 19 2020,20:30,Internacional,3-0,Atl Goianiense,Estádio José Pinheiro Borba
4,Wed Aug 19 2020,20:30,Goiás,1-3,Fortaleza,Estádio de Hailé Pinheiro
4,Wed Aug 19 2020,21:30,Corinthians,3-1,Coritiba,Arena Corinthians
4,Wed Aug 19 2020,21:30,Botafogo (RJ),2-1,Atlético Mineiro,Estádio Nilton Santos
4,Thu Aug 20 2020,19:15,Sport Recife,0-1,Santos,Estádio Adelmar da Costa Carvalho
4,Thu Aug 20 2020,20:00,Ceará,0-3,Vasco da Gama,Estádio Castelão
4,Thu Aug 20 2020,20:00,São Paulo,1-1,Bahia,Estádio do Morumbi
5,Sat Aug 22 2020,16:00,Atl Paranaense,0-1,Fluminense,Estádio Joaquim Américo Guimarães
5,Sat Aug 22 2020,19:00,Internacional,1-0,Atlético Mineiro,Estádio José Pinheiro Borba
5,Sat Aug 22 2020,21:00,Goiás,2-0,Atl Goianiense,Estádio de Hailé Pinheiro
5,Sun Aug 23 2020,11:00,Flamengo,1-1,Botafogo (RJ),Estadio Jornalista Mário Filho
5,Sun Aug 23 2020,16:00,Palmeiras,2-1,Santos,Allianz Parque
5,Sun Aug 23 2020,16:00,Vasco da Gama,0-0,Grêmio,Estádio Club de Regatas Vasco da Gama
5,Sun Aug 23 2020,16:00,Bragantino,1-2,Coritiba,Estádio Nabi Abi Chedid
5,Sun Aug 23 2020,19:00,Sport Recife,0-1,São Paulo,Estádio Adelmar da Costa Carvalho
5,Sun Aug 23 2020,20:00,Ceará,2-0,Bahia,Estádio Castelão
11,Wed Aug 26 2020,19:00,São Paulo,1-0,Atl Paranaense,Estádio do Morumbi
5,Wed Aug 26 2020,21:30,Corinthians,1-1,Fortaleza,Arena Corinthians
6,Sat Aug 29 2020,17:00,Botafogo (RJ),0-2,Internacional,Estádio Nilton Santos
6,Sat Aug 29 2020,19:00,Fluminense,2-1,Vasco da Gama,Estadio Jornalista Mário Filho
6,Sat Aug 29 2020,19:00,Bahia,1-1,Palmeiras,Estádio Governador Roberto Santos
6,Sat Aug 29 2020,21:00,Fortaleza,3-0,Bragantino,Estádio Castelão
6,Sun Aug 30 2020,11:00,São Paulo,2-1,Corinthians,Estádio do Morumbi
6,Sun Aug 30 2020,16:00,Santos,0-1,Flamengo,Estádio Urbano Caldeira
6,Sun Aug 30 2020,16:00,Coritiba,1-0,Sport Recife,Estádio Major Antônio Couto Pereira
6,Sun Aug 30 2020,18:00,Atl Goianiense,0-2,Ceará,Estádio Olímpico Pedro Ludovico Teixeira
7,Wed Sep 2 2020,19:00,Ceará,1-0,Fortaleza,Estádio Castelão
7,Wed Sep 2 2020,19:15,Goiás,1-2,Corinthians,Estádio de Hailé Pinheiro
7,Wed Sep 2 2020,19:30,Fluminense,1-1,Atl Goianiense,Estadio Jornalista Mário Filho
7,Wed Sep 2 2020,20:30,Bahia,3-5,Flamengo,Estádio Governador Roberto Santos
7,Wed Sep 2 2020,20:30,Botafogo (RJ),0-0,Coritiba,Estádio Nilton Santos
7,Wed Sep 2 2020,20:30,Atl Paranaense,1-1,Bragantino,Estádio Joaquim Américo Guimarães
7,Wed Sep 2 2020,21:30,Santos,2-2,Vasco da Gama,Estádio Urbano Caldeira
7,Wed Sep 2 2020,21:30,Palmeiras,1-1,Internacional,Allianz Parque
7,Thu Sep 3 2020,19:00,Grêmio,1-2,Sport Recife,Arena do Grêmio
7,Thu Sep 3 2020,20:00,Atlético Mineiro,3-0,São Paulo,Estádio Raimundo Sampaio
8,Sat Sep 5 2020,17:00,Flamengo,2-1,Fortaleza,Estadio Jornalista Mário Filho
8,Sat Sep 5 2020,19:00,Corinthians,2-2,Botafogo (RJ),Arena Corinthians
8,Sat Sep 5 2020,21:00,Ceará,0-1,Santos,Estádio Castelão
8,Sun Sep 6 2020,11:00,Bragantino,1-2,Palmeiras,Estádio Nabi Abi Chedid
8,Sun Sep 6 2020,16:00,São Paulo,3-1,Fluminense,Estádio do Morumbi
8,Sun Sep 6 2020,16:00,Internacional,2-2,Bahia,Estádio José Pinheiro Borba
8,Sun Sep 6 2020,18:00,Vasco da Gama,1-0,Atl Paranaense,Estádio Club de Regatas Vasco da Gama
8,Sun Sep 6 2020,19:00,Atl Goianiense,1-1,Grêmio,Estádio Olímpico Pedro Ludovico Teixeira
8,Sun Sep 6 2020,20:30,Coritiba,0-1,Atlético Mineiro,Estádio Major Antônio Couto Pereira
8,Sun Sep 6 2020,20:30,Sport Recife,2-1,Goiás,Estádio Adelmar da Costa Carvalho
9,Wed Sep 9 2020,17:30,Atl Paranaense,1-1,Botafogo (RJ),Estádio Joaquim Américo Guimarães
9,Wed Sep 9 2020,18:00,Goiás,3-3,Coritiba,Estádio de Hailé Pinheiro
9,Wed Sep 9 2020,18:00,Fortaleza,1-0,Sport Recife,Estádio Castelão
9,Wed Sep 9 2020,19:15,São Paulo,1-1,Bragantino,Estádio do Morumbi
9,Wed Sep 9 2020,21:30,Santos,3-1,Atlético Mineiro,Estádio Urbano Caldeira
9,Wed Sep 9 2020,21:30,Fluminense,1-2,Flamengo,Estadio Jornalista Mário Filho
9,Thu Sep 10 2020,19:15,Corinthians,0-2,Palmeiras,Arena Corinthians
9,Thu Sep 10 2020,19:15,Internacional,2-0,Ceará,Estádio José Pinheiro Borba
9,Thu Sep 10 2020,19:15,Bahia,0-2,Grêmio,Estádio Governador Roberto Santos
9,Thu Sep 10 2020,21:00,Vasco da Gama,1-2,Atl Goianiense,Estádio Club de Regatas Vasco da Gama
10,Sat Sep 12 2020,16:30,Atl Paranaense,1-0,Coritiba,Estádio Joaquim Américo Guimarães
10,Sat Sep 12 2020,19:00,Santos,2-2,São Paulo,Estádio Urbano Caldeira
10,Sun Sep 13 2020,16:00,Grêmio,1-1,Fortaleza,Arena do Grêmio
10,Sun Sep 13 2020,16:00,Fluminense,2-1,Corinthians,Estadio Jornalista Mário Filho
10,Sun Sep 13 2020,18:00,Goiás,1-0,Internacional,Estádio de Hailé Pinheiro
10,Sun Sep 13 2020,18:00,Ceará,2-0,Flamengo,Estádio Castelão
10,Sun Sep 13 2020,18:00,Bahia,0-1,Atl Goianiense,Estádio Governador Roberto Santos
10,Sun Sep 13 2020,18:00,Atlético Mineiro,2-1,Bragantino,Estádio Raimundo Sampaio
10,Sun Sep 13 2020,19:45,Palmeiras,2-2,Sport Recife,Allianz Parque
10,Sun Sep 13 2020,20:30,Botafogo (RJ),2-3,Vasco da Gama,Estádio Nilton Santos
11,Wed Sep 16 2020,21:30,Corinthians,3-2,Bahia,Arena Corinthians
11,Sat Sep 19 2020,19:00,Bragantino,4-2,Ceará,Estádio Nabi Abi Chedid
11,Sat Sep 19 2020,19:00,Fortaleza,1-0,Internacional,Estádio Castelão
11,Sat Sep 19 2020,21:00,Atl Goianiense,3-4,Atlético Mineiro,Estádio Olímpico Pedro Ludovico Teixeira
11,Sun Sep 20 2020,16:00,Grêmio,1-1,Palmeiras,Arena do Grêmio
11,Sun Sep 20 2020,16:00,Coritiba,1-0,Vasco da Gama,Estádio Major Antônio Couto Pereira
11,Sun Sep 20 2020,18:15,Botafogo (RJ),0-0,Santos,Estádio Nilton Santos
11,Sun Sep 20 2020,20:30,Sport Recife,1-0,Fluminense,Estádio Adelmar da Costa Carvalho
12,Wed Sep 23 2020,21:30,Sport Recife,1-0,Corinthians,Estádio Adelmar da Costa Carvalho
12,Sat Sep 26 2020,19:00,Atl Paranaense,1-0,Bahia,Estádio Joaquim Américo Guimarães
12,Sat Sep 26 2020,19:00,Internacional,1-1,São Paulo,Estádio José Pinheiro Borba
12,Sat Sep 26 2020,21:00,Atlético Mineiro,3-1,Grêmio,Estádio Raimundo Sampaio
12,Sun Sep 27 2020,11:00,Vasco da Gama,1-1,Bragantino,Estádio Club de Regatas Vasco da Gama
12,Sun Sep 27 2020,16:00,Palmeiras,1-1,Flamengo,Allianz Parque
12,Sun Sep 27 2020,18:15,Atl Goianiense,1-1,Botafogo (RJ),Estádio Olímpico Pedro Ludovico Teixeira
12,Sun Sep 27 2020,18:15,Ceará,2-2,Goiás,Estádio Castelão
12,Sun Sep 27 2020,20:30,Santos,1-1,Fortaleza,Estádio Urbano Caldeira
12,Mon Sep 28 2020,20:00,Fluminense,4-0,Coritiba,Estadio Jornalista Mário Filho
1,Wed Sep 30 2020,21:30,Botafogo (RJ),1-2,Bahia,Estádio Nilton Santos
1,Wed Sep 30 2020,21:30,Corinthians,0-0,Atl Goianiense,Arena Corinthians
13,Sat Oct 3 2020,17:00,Grêmio,1-1,Internacional,Arena do Grêmio
13,Sat Oct 3 2020,19:00,Palmeiras,2-1,Ceará,Allianz Parque
13,Sat Oct 3 2020,21:00,Bragantino,0-0,Corinthians,Estádio Nabi Abi Chedid
13,Sun Oct 4 2020,11:00,Botafogo (RJ),1-1,Fluminense,Estádio Nilton Santos
13,Sun Oct 4 2020,16:00,Flamengo,3-1,Atl Paranaense,Estadio Jornalista Mário Filho
13,Sun Oct 4 2020,16:00,Coritiba,1-1,São Paulo,Estádio Major Antônio Couto Pereira
13,Sun Oct 4 2020,18:15,Fortaleza,0-0,Atl Goianiense,Estádio Castelão
13,Sun Oct 4 2020,18:15,Bahia,1-2,Sport Recife,Estádio Governador Roberto Santos
13,Sun Oct 4 2020,18:15,Goiás,2-3,Santos,Estádio de Hailé Pinheiro
13,Sun Oct 4 2020,20:30,Atlético Mineiro,4-1,Vasco da Gama,Estádio Raimundo Sampaio
14,Wed Oct 7 2020,19:00,Corinthians,1-1,Santos,Arena Corinthians
14,Wed Oct 7 2020,19:15,Bahia,3-0,Vasco da Gama,Estádio Governador Roberto Santos
14,Wed Oct 7 2020,19:15,Flamengo,3-0,Sport Recife,Estadio Jornalista Mário Filho
14,Wed Oct 7 2020,19:15,Grêmio,2-1,Coritiba,Arena do Grêmio
14,Wed Oct 7 2020,20:30,São Paulo,3-0,Atl Goianiense,Estádio do Morumbi
14,Wed Oct 7 2020,20:30,Goiás,2-4,Fluminense,Estádio de Hailé Pinheiro
14,Wed Oct 7 2020,21:30,Fortaleza,2-1,Atlético Mineiro,Estádio Castelão
14,Wed Oct 7 2020,21:30,Botafogo (RJ),2-1,Palmeiras,Estádio Nilton Santos
14,Thu Oct 8 2020,19:00,Atl Paranaense,0-0,Ceará,Estádio Joaquim Américo Guimarães
14,Thu Oct 8 2020,21:00,Bragantino,0-2,Internacional,Estádio Nabi Abi Chedid
15,Sat Oct 10 2020,17:00,Vasco da Gama,1-2,Flamengo,Estádio Club de Regatas Vasco da Gama
15,Sat Oct 10 2020,19:00,Coritiba,0-0,Fortaleza,Estádio Major Antônio Couto Pereira
15,Sat Oct 10 2020,19:00,Palmeiras,0-2,São Paulo,Allianz Parque
15,Sat Oct 10 2020,21:00,Atlético Mineiro,3-0,Goiás,Estádio Raimundo Sampaio
15,Sun Oct 11 2020,16:00,Fluminense,1-0,Bahia,Estadio Jornalista Mário Filho
15,Sun Oct 11 2020,16:00,Santos,2-1,Grêmio,Estádio Urbano Caldeira
15,Sun Oct 11 2020,18:15,Sport Recife,1-2,Botafogo (RJ),Estádio Adelmar da Costa Carvalho
15,Sun Oct 11 2020,18:15,Atl Goianiense,2-1,Bragantino,Estádio Olímpico Pedro Ludovico Teixeira
15,Sun Oct 11 2020,20:30,Ceará,2-1,Corinthians,Estádio Castelão
15,Sun Oct 11 2020,20:30,Internacional,2-1,Atl Paranaense,Estádio José Pinheiro Borba
11,Tue Oct 13 2020,18:00,Flamengo,2-1,Goiás,Estadio Jornalista Mário Filho
16,Wed Oct 14 2020,18:00,Palmeiras,1-3,Coritiba,Allianz Parque
16,Wed Oct 14 2020,19:15,Grêmio,3-1,Botafogo (RJ),Arena do Grêmio
16,Wed Oct 14 2020,20:30,Santos,0-1,Atl Goianiense,Estádio Urbano Caldeira
16,Wed Oct 14 2020,21:30,Atlético Mineiro,1-1,Fluminense,Estádio Raimundo Sampaio
16,Wed Oct 14 2020,21:30,Sport Recife,3-5,Internacional,Estádio Adelmar da Costa Carvalho
16,Wed Oct 14 2020,21:30,Atl Paranaense,0-1,Corinthians,Estádio Joaquim Américo Guimarães
16,Thu Oct 15 2020,20:00,Flamengo,1-1,Bragantino,Estadio Jornalista Mário Filho
16,Fri Oct 16 2020,20:00,Goiás,1-1,Bahia,Estádio de Hailé Pinheiro
17,Sat Oct 17 2020,19:00,Fluminense,2-2,Ceará,Estadio Jornalista Mário Filho
17,Sat Oct 17 2020,19:00,Atl Goianiense,1-1,Atl Paranaense,Estádio Olímpico Pedro Ludovico Teixeira
17,Sat Oct 17 2020,19:00,Coritiba,1-2,Santos,Estádio Major Antônio Couto Pereira
17,Sat Oct 17 2020,21:00,São Paulo,0-0,Grêmio,Estádio do Morumbi
17,Sun Oct 18 2020,16:00,Corinthians,1-5,Flamengo,Arena Corinthians
17,Sun Oct 18 2020,18:15,Internacional,2-0,Vasco da Gama,Estádio José Pinheiro Borba
17,Sun Oct 18 2020,20:30,Bragantino,2-0,Sport Recife,Estádio Nabi Abi Chedid
17,Sun Oct 18 2020,20:30,Fortaleza,2-0,Palmeiras,Estádio Castelão
17,Mon Oct 19 2020,20:00,Botafogo (RJ),0-0,Goiás,Estádio Nilton Santos
17,Mon Oct 19 2020,20:00,Bahia,3-1,Atlético Mineiro,Estádio Governador Roberto Santos
18,Wed Oct 21 2020,21:30,Vasco da Gama,1-2,Corinthians,Estádio Club de Regatas Vasco da Gama
18,Sat Oct 24 2020,17:00,Bragantino,2-0,Goiás,Estádio Nabi Abi Chedid
18,Sat Oct 24 2020,19:00,Ceará,2-1,Coritiba,Estádio Castelão
18,Sat Oct 24 2020,22:00,Atlético Mineiro,0-0,Sport Recife,Estádio Raimundo Sampaio
18,Sun Oct 25 2020,16:00,Fluminense,3-1,Santos,Estadio Jornalista Mário Filho
18,Sun Oct 25 2020,16:00,Atl Goianiense,0-3,Palmeiras,Estádio Olímpico Pedro Ludovico Teixeira
18,Sun Oct 25 2020,18:15,Internacional,2-2,Flamengo,Estádio José Pinheiro Borba
18,Sun Oct 25 2020,18:15,Atl Paranaense,1-2,Grêmio,Estádio Joaquim Américo Guimarães
19,Sat Oct 31 2020,17:00,Botafogo (RJ),2-2,Ceará,Estádio Nilton Santos
19,Sat Oct 31 2020,19:00,Coritiba,1-0,Atl Goianiense,Estádio Major Antônio Couto Pereira
19,Sat Oct 31 2020,19:00,Corinthians,1-0,Internacional,Arena Corinthians
19,Sat Oct 31 2020,21:00,Fortaleza,0-1,Fluminense,Estádio Castelão
19,Sun Nov 1 2020,16:00,Sport Recife,1-0,Atl Paranaense,Estádio Adelmar da Costa Carvalho
19,Sun Nov 1 2020,16:00,Flamengo,1-4,São Paulo,Estadio Jornalista Mário Filho
19,Sun Nov 1 2020,18:15,Santos,3-1,Bahia,Estádio Urbano Caldeira
19,Sun Nov 1 2020,20:30,Goiás,1-1,Vasco da Gama,Estádio de Hailé Pinheiro
19,Mon Nov 2 2020,17:00,Palmeiras,3-0,Atlético Mineiro,Allianz Parque
19,Mon Nov 2 2020,20:00,Grêmio,2-1,Bragantino,Arena do Grêmio
20,Sat Nov 7 2020,18:00,Atl Paranaense,2-1,Fortaleza,Estádio Joaquim Américo Guimarães
20,Sat Nov 7 2020,19:00,São Paulo,2-1,Goiás,Estádio do Morumbi
